,Year,N11,N12,N13,N14,N15,N16,N17,N18,N19,N110,N111,N112,N21,N22,N23,N24,N25,N26,N27,N28,N29,N210,N211,N212,Population,Area,Zone1_n,Zone2_c,Zone3_s
高雄市苓雅區,101,0,1,0,0,1,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,179512,8.15,0,0,1
高雄市旗津區,101,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29468,1.46,0,0,1
高雄市三民區,101,0,0,0,0,1,1,1,0,0,0,2,1,0,0,1,0,1,0,0,1,0,0,0,0,349710,19.79,0,0,1
高雄市新興區,101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53749,1.98,0,0,1
高雄市鹽埕區,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26222,1.42,0,0,1
臺北市大安區,101,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,313426,11.36,1,0,0
臺北市大同區,101,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,128809,5.68,1,0,0
臺北市松山區,101,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,210905,9.29,1,0,0
臺北市萬華區,101,0,0,2,0,1,0,0,0,0,2,2,1,0,0,0,0,0,0,1,1,0,0,0,0,192628,8.85,1,0,0
臺北市信義區,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227734,11.21,1,0,0
臺北市中山區,101,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,226659,13.68,1,0,0
臺北市中正區,101,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,162154,7.61,1,0,0
臺中市北區,101,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,147798,6.94,0,1,0
臺中市南區,101,2,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,116807,6.81,0,1,0
臺中市西區,101,1,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,116784,5.7,0,1,0
臺中市中區,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,20647,0.88,0,1,0
新北市板橋區,101,0,0,1,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,557440,23.14,1,0,0
新北市蘆洲區,101,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,199490,7.44,1,0,0
新北市三重區,101,0,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,390090,16.32,1,0,0
新北市新莊區,101,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,407012,19.74,1,0,0
