,Year,Month,County,Category
1,101,5,臺南市七股區,機車
2,101,9,臺南市七股區,機車
3,102,2,臺南市七股區,機車
4,102,6,臺南市七股區,機車
5,102,10,臺南市七股區,機車
6,103,10,臺南市七股區,機車
7,104,3,臺南市七股區,機車
8,104,11,臺南市七股區,機車
9,105,3,臺南市七股區,機車
10,105,7,臺南市七股區,機車
11,106,3,臺南市七股區,機車
12,106,11,臺南市七股區,機車
13,108,1,臺南市七股區,機車
14,108,9,臺南市七股區,機車
15,109,3,臺南市七股區,機車
16,109,4,臺南市七股區,機車
17,109,6,臺南市七股區,機車
18,109,11,臺南市七股區,機車
19,110,3,臺南市七股區,機車
20,110,4,臺南市七股區,機車
21,110,6,臺南市七股區,機車
22,104,3,澎湖縣七美鄉,機車
23,108,8,澎湖縣七美鄉,機車
24,101,2,基隆市七堵區,機車
25,101,9,基隆市七堵區,機車
26,101,9,基隆市七堵區,機車
27,101,11,基隆市七堵區,機車
28,103,11,基隆市七堵區,機車
29,104,1,基隆市七堵區,機車
30,104,2,基隆市七堵區,機車
31,104,5,基隆市七堵區,機車
32,104,11,基隆市七堵區,機車
33,104,12,基隆市七堵區,機車
34,105,8,基隆市七堵區,機車
35,105,12,基隆市七堵區,機車
36,106,2,基隆市七堵區,機車
37,106,2,基隆市七堵區,機車
38,106,6,基隆市七堵區,機車
39,107,11,基隆市七堵區,機車
40,108,1,基隆市七堵區,機車
41,101,1,屏東縣九如鄉,機車
42,101,4,屏東縣九如鄉,機車
43,101,8,屏東縣九如鄉,機車
44,101,12,屏東縣九如鄉,機車
45,102,2,屏東縣九如鄉,機車
46,102,4,屏東縣九如鄉,機車
47,103,8,屏東縣九如鄉,機車
48,104,2,屏東縣九如鄉,機車
49,104,6,屏東縣九如鄉,機車
50,107,3,屏東縣九如鄉,機車
51,108,3,屏東縣九如鄉,機車
52,108,5,屏東縣九如鄉,機車
53,108,6,屏東縣九如鄉,機車
54,110,6,屏東縣九如鄉,機車
55,110,7,屏東縣九如鄉,機車
56,110,8,屏東縣九如鄉,機車
57,110,10,屏東縣九如鄉,機車
58,110,10,屏東縣九如鄉,機車
59,101,1,彰化縣二水鄉,機車
60,101,5,彰化縣二水鄉,機車
61,102,7,彰化縣二水鄉,機車
62,103,2,彰化縣二水鄉,機車
63,103,3,彰化縣二水鄉,機車
64,103,7,彰化縣二水鄉,機車
65,104,3,彰化縣二水鄉,機車
66,104,5,彰化縣二水鄉,機車
67,105,8,彰化縣二水鄉,機車
68,106,7,彰化縣二水鄉,機車
69,106,10,彰化縣二水鄉,機車
70,107,5,彰化縣二水鄉,機車
71,101,6,彰化縣二林鎮,機車
72,101,11,彰化縣二林鎮,機車
73,102,1,彰化縣二林鎮,機車
74,103,3,彰化縣二林鎮,機車
75,103,8,彰化縣二林鎮,機車
76,103,8,彰化縣二林鎮,機車
77,103,10,彰化縣二林鎮,機車
78,104,3,彰化縣二林鎮,機車
79,104,8,彰化縣二林鎮,機車
80,104,9,彰化縣二林鎮,機車
81,105,4,彰化縣二林鎮,機車
82,105,8,彰化縣二林鎮,機車
83,105,9,彰化縣二林鎮,機車
84,105,11,彰化縣二林鎮,機車
85,107,5,彰化縣二林鎮,機車
86,107,7,彰化縣二林鎮,機車
87,108,4,彰化縣二林鎮,機車
88,108,9,彰化縣二林鎮,機車
89,109,5,彰化縣二林鎮,機車
90,109,6,彰化縣二林鎮,機車
91,109,9,彰化縣二林鎮,機車
92,109,10,彰化縣二林鎮,機車
93,110,1,彰化縣二林鎮,機車
94,110,7,彰化縣二林鎮,機車
95,110,8,彰化縣二林鎮,機車
96,101,2,雲林縣二崙鄉,機車
97,101,3,雲林縣二崙鄉,機車
98,101,4,雲林縣二崙鄉,機車
99,102,5,雲林縣二崙鄉,機車
100,102,6,雲林縣二崙鄉,機車
101,103,1,雲林縣二崙鄉,機車
102,103,3,雲林縣二崙鄉,機車
103,103,7,雲林縣二崙鄉,機車
104,103,8,雲林縣二崙鄉,機車
105,103,9,雲林縣二崙鄉,機車
106,103,11,雲林縣二崙鄉,機車
107,104,10,雲林縣二崙鄉,機車
108,104,12,雲林縣二崙鄉,機車
109,105,7,雲林縣二崙鄉,機車
110,105,8,雲林縣二崙鄉,機車
111,107,6,雲林縣二崙鄉,機車
112,107,8,雲林縣二崙鄉,機車
113,108,4,雲林縣二崙鄉,機車
114,109,1,雲林縣二崙鄉,機車
115,109,1,雲林縣二崙鄉,機車
116,109,3,雲林縣二崙鄉,機車
117,109,6,雲林縣二崙鄉,機車
118,109,11,雲林縣二崙鄉,機車
119,109,11,雲林縣二崙鄉,機車
120,109,11,雲林縣二崙鄉,機車
121,110,2,雲林縣二崙鄉,機車
122,110,6,雲林縣二崙鄉,機車
123,110,9,雲林縣二崙鄉,機車
124,101,2,新北市八里區,機車
125,101,8,新北市八里區,機車
126,102,4,新北市八里區,機車
127,102,9,新北市八里區,機車
128,103,1,新北市八里區,機車
129,103,3,新北市八里區,機車
130,103,8,新北市八里區,機車
131,104,7,新北市八里區,機車
132,104,10,新北市八里區,機車
133,104,12,新北市八里區,機車
134,105,4,新北市八里區,機車
135,105,10,新北市八里區,機車
136,105,11,新北市八里區,機車
137,106,1,新北市八里區,機車
138,107,3,新北市八里區,機車
139,107,6,新北市八里區,機車
140,107,12,新北市八里區,機車
141,108,6,新北市八里區,機車
142,108,6,新北市八里區,機車
143,108,7,新北市八里區,機車
144,108,9,新北市八里區,機車
145,108,11,新北市八里區,機車
146,109,1,新北市八里區,機車
147,110,7,新北市八里區,機車
148,101,5,桃園縣八德市,機車
149,101,7,桃園縣八德市,機車
150,101,10,桃園縣八德市,機車
151,102,6,桃園縣八德市,機車
152,102,7,桃園縣八德市,機車
153,103,2,桃園縣八德市,機車
154,103,3,桃園縣八德市,機車
155,103,4,桃園縣八德市,機車
156,103,6,桃園縣八德市,機車
157,103,6,桃園縣八德市,機車
158,103,7,桃園縣八德市,機車
159,103,8,桃園縣八德市,機車
160,103,11,桃園縣八德市,機車
161,103,12,桃園縣八德市,機車
162,103,12,桃園縣八德市,機車
163,103,12,桃園縣八德市,機車
164,104,2,桃園市八德區,機車
165,104,4,桃園市八德區,機車
166,104,4,桃園市八德區,機車
167,104,7,桃園市八德區,機車
168,104,11,桃園市八德區,機車
169,104,12,桃園市八德區,機車
170,105,1,桃園市八德區,機車
171,105,2,桃園市八德區,機車
172,105,2,桃園市八德區,機車
173,105,3,桃園市八德區,機車
174,105,5,桃園市八德區,機車
175,105,6,桃園市八德區,機車
176,105,10,桃園市八德區,機車
177,105,12,桃園市八德區,機車
178,105,12,桃園市八德區,機車
179,106,2,桃園市八德區,機車
180,106,3,桃園市八德區,機車
181,106,4,桃園市八德區,機車
182,106,4,桃園市八德區,機車
183,106,8,桃園市八德區,機車
184,106,11,桃園市八德區,機車
185,107,1,桃園市八德區,機車
186,107,8,桃園市八德區,機車
187,107,9,桃園市八德區,機車
188,107,10,桃園市八德區,機車
189,107,11,桃園市八德區,機車
190,107,11,桃園市八德區,機車
191,107,12,桃園市八德區,機車
192,108,2,桃園市八德區,機車
193,108,6,桃園市八德區,機車
194,108,7,桃園市八德區,機車
