Year,Month,County,District,Category
101,3,臺南市,七股區,自用小客車
101,5,臺南市,七股區,機車
101,9,臺南市,七股區,機車
101,9,臺南市,七股區,自用小客車
101,10,臺南市,七股區,自用小客車
102,2,臺南市,七股區,機車
102,6,臺南市,七股區,機車
102,10,臺南市,七股區,機車
102,11,臺南市,七股區,自用-大貨車
103,7,臺南市,七股區,自用-大貨車
103,10,臺南市,七股區,機車
103,12,臺南市,七股區,腳踏自行車-慢車
104,3,臺南市,七股區,機車
104,8,臺南市,七股區,自用-小貨車(含客、貨兩用)
104,10,臺南市,七股區,自用-小貨車(含客、貨兩用)
104,11,臺南市,七股區,機車
105,3,臺南市,七股區,機車
105,7,臺南市,七股區,機車
105,9,臺南市,七股區,自用-小貨車(含客、貨兩用)
105,10,臺南市,七股區,自用小客車
106,2,臺南市,七股區,腳踏自行車-慢車
106,3,臺南市,七股區,自用-大貨車
106,3,臺南市,七股區,機車
106,4,臺南市,七股區,自用小客車
106,11,臺南市,七股區,機車
108,1,臺南市,七股區,機車
108,3,臺南市,七股區,自用小客車
108,8,臺南市,七股區,自用-小貨車(含客、貨兩用)
108,9,臺南市,七股區,自用小客車
108,9,臺南市,七股區,機車
109,1,臺南市,七股區,自用-小貨車(含客、貨兩用)
109,3,臺南市,七股區,機車
109,4,臺南市,七股區,機車
109,6,臺南市,七股區,機車
109,11,臺南市,七股區,機車
110,2,臺南市,七股區,自用-小貨車(含客、貨兩用)
110,3,臺南市,七股區,機車
110,4,臺南市,七股區,機車
110,5,臺南市,七股區,自用-小貨車(含客、貨兩用)
110,5,臺南市,七股區,腳踏自行車-慢車
110,5,臺南市,七股區,自用-小貨車(含客、貨兩用)
110,6,臺南市,七股區,機車
110,12,臺南市,七股區,自用小客車
104,3,澎湖縣,七美鄉,機車
108,8,澎湖縣,七美鄉,機車
101,2,基隆市,七堵區,機車
101,9,基隆市,七堵區,機車
101,9,基隆市,七堵區,機車
101,10,基隆市,七堵區,自用-小貨車
101,11,基隆市,七堵區,機車
101,12,基隆市,七堵區,營業用-大貨車
102,6,基隆市,七堵區,營業用-小貨車
102,6,基隆市,七堵區,營業用-半聯結車
102,8,基隆市,七堵區,自用小客車
102,11,基隆市,七堵區,自用小客車
102,12,基隆市,七堵區,自用-小貨車
102,12,基隆市,七堵區,自用小客車
103,5,基隆市,七堵區,自用-大貨車
103,6,基隆市,七堵區,自用小客車
103,11,基隆市,七堵區,機車
104,1,基隆市,七堵區,機車
104,2,基隆市,七堵區,機車
104,5,基隆市,七堵區,機車
104,7,基隆市,七堵區,自用小客車
104,11,基隆市,七堵區,營業用-半聯結車
104,11,基隆市,七堵區,機車
104,12,基隆市,七堵區,機車
105,3,基隆市,七堵區,自用-小貨車(含客、貨兩用)
105,8,基隆市,七堵區,機車
105,12,基隆市,七堵區,機車
106,2,基隆市,七堵區,行人-人
106,2,基隆市,七堵區,機車
106,2,基隆市,七堵區,機車
106,4,基隆市,七堵區,營業用-半聯結車
106,6,基隆市,七堵區,機車
106,8,基隆市,七堵區,計程車-小客車
107,1,基隆市,七堵區,自用小客車
107,11,基隆市,七堵區,機車
108,1,基隆市,七堵區,機車
108,1,基隆市,七堵區,自用小客車
108,4,基隆市,七堵區,計程車-小客車
108,6,基隆市,七堵區,行人-人
110,10,基隆市,七堵區,行人-人
101,1,屏東縣,九如鄉,機車
101,3,屏東縣,九如鄉,營業用-全聯結車
101,4,屏東縣,九如鄉,機車
101,6,屏東縣,九如鄉,營業用-半聯結車
101,8,屏東縣,九如鄉,機車
101,12,屏東縣,九如鄉,機車
102,2,屏東縣,九如鄉,機車
102,4,屏東縣,九如鄉,自用小客車
102,4,屏東縣,九如鄉,機車
102,11,屏東縣,九如鄉,自用-大貨車
103,8,屏東縣,九如鄉,機車
103,9,屏東縣,九如鄉,營業用-半聯結車
103,11,屏東縣,九如鄉,自用小客車
103,11,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
104,2,屏東縣,九如鄉,機車
104,6,屏東縣,九如鄉,機車
104,7,屏東縣,九如鄉,電動輔助自行車-慢車
105,11,屏東縣,九如鄉,自用-大貨車
106,4,屏東縣,九如鄉,營業用-小貨車(含客、貨兩用)
106,12,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
106,12,屏東縣,九如鄉,腳踏自行車-慢車
107,3,屏東縣,九如鄉,機車
107,4,屏東縣,九如鄉,自用小客車
107,6,屏東縣,九如鄉,自用小客車
108,3,屏東縣,九如鄉,機車
108,5,屏東縣,九如鄉,機車
108,6,屏東縣,九如鄉,機車
108,7,屏東縣,九如鄉,自用小客車
108,10,屏東縣,九如鄉,腳踏自行車-慢車
108,10,屏東縣,九如鄉,自用小客車
108,10,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
108,12,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
109,1,屏東縣,九如鄉,電動自行車-慢車
109,3,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
110,6,屏東縣,九如鄉,機車
110,7,屏東縣,九如鄉,機車
110,8,屏東縣,九如鄉,機車
110,8,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
110,10,屏東縣,九如鄉,機車
110,10,屏東縣,九如鄉,機車
110,12,屏東縣,九如鄉,自用-小貨車(含客、貨兩用)
101,1,彰化縣,二水鄉,自用-小貨車
101,1,彰化縣,二水鄉,機車
101,5,彰化縣,二水鄉,機車
101,12,彰化縣,二水鄉,自用小客車
102,2,彰化縣,二水鄉,行人-人
102,7,彰化縣,二水鄉,機車
102,10,彰化縣,二水鄉,自用小客車
103,2,彰化縣,二水鄉,機車
103,3,彰化縣,二水鄉,機車
103,6,彰化縣,二水鄉,行人-人
103,7,彰化縣,二水鄉,機車
104,3,彰化縣,二水鄉,機車
104,5,彰化縣,二水鄉,機車
104,10,彰化縣,二水鄉,自用小客車
105,8,彰化縣,二水鄉,機車
106,7,彰化縣,二水鄉,機車
106,10,彰化縣,二水鄉,機車
107,5,彰化縣,二水鄉,機車
108,7,彰化縣,二水鄉,自用小客車
110,9,彰化縣,二水鄉,行人-人
101,1,彰化縣,二林鎮,自用小客車
101,5,彰化縣,二林鎮,自用小客車
101,5,彰化縣,二林鎮,自用-小貨車
101,6,彰化縣,二林鎮,機車
101,8,彰化縣,二林鎮,營業用-大貨車
101,11,彰化縣,二林鎮,機車
102,1,彰化縣,二林鎮,自用-小貨車
102,1,彰化縣,二林鎮,自用小客車
102,1,彰化縣,二林鎮,機車
102,3,彰化縣,二林鎮,自用-小貨車
102,3,彰化縣,二林鎮,營業用-半聯結車
102,5,彰化縣,二林鎮,自用-小貨車
102,7,彰化縣,二林鎮,自用-小貨車
103,3,彰化縣,二林鎮,機車
103,4,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
103,8,彰化縣,二林鎮,機車
103,8,彰化縣,二林鎮,機車
103,10,彰化縣,二林鎮,機車
103,12,彰化縣,二林鎮,自用小客車
104,3,彰化縣,二林鎮,機車
104,5,彰化縣,二林鎮,自用小客車
104,6,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
104,6,彰化縣,二林鎮,自用小客車
104,7,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
104,8,彰化縣,二林鎮,機車
104,9,彰化縣,二林鎮,機車
104,9,彰化縣,二林鎮,營業用-曳引車
104,10,彰化縣,二林鎮,自用小客車
104,12,彰化縣,二林鎮,自用小客車
105,1,彰化縣,二林鎮,自用小客車
105,4,彰化縣,二林鎮,自用小客車
105,4,彰化縣,二林鎮,機車
105,8,彰化縣,二林鎮,機車
105,8,彰化縣,二林鎮,電動自行車-慢車
105,9,彰化縣,二林鎮,機車
105,10,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
105,11,彰化縣,二林鎮,機車
105,12,彰化縣,二林鎮,自用-曳引車
105,12,彰化縣,二林鎮,自用小客車
106,2,彰化縣,二林鎮,營業用-大貨車
106,6,彰化縣,二林鎮,自用-大貨車
106,10,彰化縣,二林鎮,自用小客車
107,2,彰化縣,二林鎮,自用小客車
107,2,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
107,3,彰化縣,二林鎮,自用小客車
107,5,彰化縣,二林鎮,機車
107,7,彰化縣,二林鎮,機車
107,9,彰化縣,二林鎮,自用小客車
107,9,彰化縣,二林鎮,自用小客車
107,11,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
107,11,彰化縣,二林鎮,自用小客車
108,2,彰化縣,二林鎮,營業用-大貨車
108,4,彰化縣,二林鎮,機車
108,4,彰化縣,二林鎮,行人-人
108,6,彰化縣,二林鎮,營業用-半聯結車
108,6,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
108,7,彰化縣,二林鎮,腳踏自行車-慢車
108,8,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
108,9,彰化縣,二林鎮,機車
108,10,彰化縣,二林鎮,腳踏自行車-慢車
109,2,彰化縣,二林鎮,腳踏自行車-慢車
109,4,彰化縣,二林鎮,自用-小貨車(含客、貨兩用)
109,4,彰化縣,二林鎮,自用小客車
109,5,彰化縣,二林鎮,機車
