"","X","Year","Month","County","Category"
"84",84,101,3,"高雄市三民區","自用小客車"
"85",85,101,5,"高雄市三民區","自用小客車"
"86",86,101,8,"高雄市三民區","自用小客車"
"87",87,102,1,"高雄市三民區","自用小客車"
"88",88,102,11,"高雄市三民區","自用小客車"
"89",89,103,1,"高雄市三民區","自用小客車"
"90",90,103,3,"高雄市三民區","自用小客車"
"91",91,103,5,"高雄市三民區","自用小客車"
"92",92,103,5,"高雄市三民區","自用小客車"
"93",93,103,8,"高雄市三民區","自用小客車"
"94",94,103,12,"高雄市三民區","自用小客車"
"95",95,104,3,"高雄市三民區","自用小客車"
"96",96,104,8,"高雄市三民區","自用小客車"
"97",97,105,5,"高雄市三民區","自用小客車"
"98",98,105,5,"高雄市三民區","自用小客車"
"99",99,105,11,"高雄市三民區","自用小客車"
"100",100,105,11,"高雄市三民區","自用小客車"
"101",101,106,8,"高雄市三民區","自用小客車"
"102",102,107,3,"高雄市三民區","自用小客車"
"103",103,107,10,"高雄市三民區","自用小客車"
"104",104,107,11,"高雄市三民區","自用小客車"
"105",105,107,11,"高雄市三民區","自用小客車"
"106",106,108,12,"高雄市三民區","自用小客車"
"107",107,109,1,"高雄市三民區","自用小客車"
"108",108,109,4,"高雄市三民區","自用小客車"
"109",109,109,7,"高雄市三民區","自用小客車"
"110",110,109,9,"高雄市三民區","自用小客車"
"111",111,110,2,"高雄市三民區","自用小客車"
"112",112,110,3,"高雄市三民區","自用小客車"
"113",113,110,6,"高雄市三民區","自用小客車"
"114",114,110,8,"高雄市三民區","自用小客車"
"115",115,110,11,"高雄市三民區","自用小客車"
"116",116,110,11,"高雄市三民區","自用小客車"
"131",131,101,5,"新北市三重區","自用小客車"
"132",132,101,9,"新北市三重區","自用小客車"
"133",133,104,3,"新北市三重區","自用小客車"
"134",134,107,8,"新北市三重區","自用小客車"
"135",135,108,1,"新北市三重區","自用小客車"
"136",136,108,1,"新北市三重區","自用小客車"
"137",137,108,10,"新北市三重區","自用小客車"
"138",138,108,11,"新北市三重區","自用小客車"
"139",139,110,2,"新北市三重區","自用小客車"
"140",140,110,6,"新北市三重區","自用小客車"
"269",269,101,2,"臺北市大同區","自用小客車"
"270",270,101,11,"臺北市大同區","自用小客車"
"271",271,101,11,"臺北市大同區","自用小客車"
"272",272,102,12,"臺北市大同區","自用小客車"
"273",273,103,9,"臺北市大同區","自用小客車"
"274",274,103,10,"臺北市大同區","自用小客車"
"275",275,104,9,"臺北市大同區","自用小客車"
"276",276,107,6,"臺北市大同區","自用小客車"
"277",277,107,7,"臺北市大同區","自用小客車"
"278",278,108,7,"臺北市大同區","自用小客車"
"279",279,110,3,"臺北市大同區","自用小客車"
"280",280,110,6,"臺北市大同區","自用小客車"
"281",281,110,8,"臺北市大同區","自用小客車"
"286",286,101,6,"臺北市大安區","自用小客車"
"290",290,101,11,"臺北市大安區","自用小客車"
"292",292,103,1,"臺北市大安區","自用小客車"
"293",293,103,4,"臺北市大安區","自用小客車"
"294",294,104,2,"臺北市大安區","自用小客車"
"295",295,104,5,"臺北市大安區","自用小客車"
"296",296,104,10,"臺北市大安區","自用小客車"
"297",297,104,10,"臺北市大安區","自用小客車"
"298",298,105,2,"臺北市大安區","自用小客車"
"299",299,105,5,"臺北市大安區","自用小客車"
"300",300,105,9,"臺北市大安區","自用小客車"
"301",301,105,10,"臺北市大安區","自用小客車"
"302",302,107,5,"臺北市大安區","自用小客車"
"303",303,107,8,"臺北市大安區","自用小客車"
"304",304,107,11,"臺北市大安區","自用小客車"
"305",305,107,12,"臺北市大安區","自用小客車"
"306",306,108,4,"臺北市大安區","自用小客車"
"307",307,108,5,"臺北市大安區","自用小客車"
"308",308,108,6,"臺北市大安區","自用小客車"
"309",309,108,11,"臺北市大安區","自用小客車"
"310",310,109,1,"臺北市大安區","自用小客車"
"311",311,110,3,"臺北市大安區","自用小客車"
"531",531,101,2,"臺北市中山區","自用小客車"
"532",532,101,2,"臺北市中山區","自用小客車"
"533",533,101,2,"臺北市中山區","自用小客車"
"534",534,101,5,"臺北市中山區","自用小客車"
"535",535,101,10,"臺北市中山區","自用小客車"
"536",536,102,1,"臺北市中山區","自用小客車"
"537",537,102,1,"臺北市中山區","自用小客車"
"538",538,102,7,"臺北市中山區","自用小客車"
"539",539,102,7,"臺北市中山區","自用小客車"
"540",540,102,9,"臺北市中山區","自用小客車"
"541",541,102,9,"臺北市中山區","自用小客車"
"543",543,102,11,"臺北市中山區","自用小客車"
"544",544,103,11,"臺北市中山區","自用小客車"
"545",545,104,4,"臺北市中山區","自用小客車"
"546",546,104,8,"臺北市中山區","自用小客車"
"547",547,105,1,"臺北市中山區","自用小客車"
"549",549,105,7,"臺北市中山區","自用小客車"
"550",550,106,4,"臺北市中山區","自用小客車"
"552",552,107,12,"臺北市中山區","自用小客車"
"553",553,108,2,"臺北市中山區","自用小客車"
"554",554,108,4,"臺北市中山區","自用小客車"
"555",555,108,4,"臺北市中山區","自用小客車"
"556",556,108,6,"臺北市中山區","自用小客車"
"558",558,109,5,"臺北市中山區","自用小客車"
"559",559,109,6,"臺北市中山區","自用小客車"
"560",560,109,7,"臺北市中山區","自用小客車"
"562",562,109,12,"臺北市中山區","自用小客車"
"563",563,110,1,"臺北市中山區","自用小客車"
"565",565,101,12,"臺北市中正區","自用小客車"
"566",566,103,1,"臺北市中正區","自用小客車"
"567",567,103,7,"臺北市中正區","自用小客車"
"569",569,104,2,"臺北市中正區","自用小客車"
"570",570,104,5,"臺北市中正區","自用小客車"
"571",571,104,10,"臺北市中正區","自用小客車"
"572",572,104,11,"臺北市中正區","自用小客車"
"573",573,104,12,"臺北市中正區","自用小客車"
"574",574,105,2,"臺北市中正區","自用小客車"
"575",575,105,12,"臺北市中正區","自用小客車"
"576",576,106,5,"臺北市中正區","自用小客車"
"577",577,107,7,"臺北市中正區","自用小客車"
"578",578,108,9,"臺北市中正區","自用小客車"
"579",579,109,7,"臺北市中正區","自用小客車"
"580",580,109,10,"臺北市中正區","自用小客車"
"582",582,110,6,"臺北市中正區","自用小客車"
"583",583,110,12,"臺北市中正區","自用小客車"
"591",591,101,5,"新北市中和區","自用小客車"
"592",592,102,1,"新北市中和區","自用小客車"
"593",593,104,4,"新北市中和區","自用小客車"
"594",594,104,9,"新北市中和區","自用小客車"
"595",595,104,11,"新北市中和區","自用小客車"
"596",596,104,12,"新北市中和區","自用小客車"
"597",597,104,12,"新北市中和區","自用小客車"
"598",598,105,12,"新北市中和區","自用小客車"
"599",599,106,10,"新北市中和區","自用小客車"
