,statistic_yyy,site_id,people_total,area,population_density
1,102,新北市板橋區,556920,23.1373,24070
2,102,新北市三重區,389813,16.317,23890
3,102,新北市中和區,415742,20.144,20639
4,102,新北市永和區,229062,5.7138,40089
5,102,新北市新莊區,409760,19.7383,20760
6,102,新北市蘆洲區,199426,7.4351,26822
7,102,臺北市松山區,210343,9.2878,22647
8,102,臺北市信義區,228496,11.2077,20387
9,102,臺北市大安區,313363,11.3614,27581
10,102,臺北市中正區,163140,7.6071,21446
11,102,臺北市大同區,129820,5.6815,22850
12,102,臺北市萬華區,193480,8.8522,21857
13,102,臺中市中區,20008,0.8803,22729
14,102,臺中市南區,118349,6.8101,17378
15,102,臺中市西區,116397,5.7042,20405
16,102,臺中市北區,147880,6.9376,21316
17,102,高雄市鹽埕區,25847,1.4161,18252
18,102,高雄市三民區,348488,19.7866,17612
19,102,高雄市新興區,53170,1.9764,26902
20,102,高雄市苓雅區,177716,8.1522,21800
21,102,高雄市旗津區,29040,1.4639,19837
22,103,新北市板橋區,555914,23.1373,24027
23,103,新北市三重區,389325,16.317,23860
24,103,新北市中和區,415226,20.144,20613
25,103,新北市永和區,227267,5.7138,39775
26,103,新北市新莊區,411711,19.7383,20858
27,103,新北市蘆洲區,199750,7.4351,26866
28,103,臺北市松山區,210473,9.2878,22661
29,103,臺北市信義區,229657,11.2077,20491
30,103,臺北市大安區,313693,11.3614,27610
31,103,臺北市中正區,163388,7.6071,21478
32,103,臺北市大同區,130973,5.6815,23053
33,103,臺北市萬華區,194715,8.8522,21996
34,103,臺中市中區,19323,0.8803,21950
35,103,臺中市南區,120128,6.8101,17640
36,103,臺中市西區,115731,5.7042,20289
37,103,臺中市北區,147471,6.9376,21257
38,103,高雄市鹽埕區,25400,1.4161,17937
39,103,高雄市三民區,347619,19.7866,17568
40,103,高雄市新興區,52534,1.9764,26581
41,103,高雄市苓雅區,175854,8.1522,21571
42,103,高雄市旗津區,28958,1.4639,19781
43,104,新北市板橋區,554236,23.1373,23954
44,104,新北市三重區,388447,16.317,23806
45,104,新北市中和區,414304,20.144,20567
46,104,新北市永和區,225409,5.7138,39450
47,104,新北市新莊區,413243,19.7383,20936
48,104,新北市蘆洲區,200095,7.4351,26912
49,104,臺北市松山區,209714,9.2878,22580
50,104,臺北市信義區,229211,11.2077,20451
51,104,臺北市大安區,313058,11.3614,27555
52,104,臺北市中正區,162475,7.6071,21358
53,104,臺北市大同區,130929,5.6815,23045
54,104,臺北市萬華區,194339,8.8522,21954
